author,isbn,pages,title
Christopher Moore,9.78E+12,444 pages,"Lamb: The Gospel According to Biff, Christ's Childhood Pal"
T.H. White,9.78E+12,639 pages,The Once and Future King
Ki Longfellow,9.78E+12,301 pages,Flow Down Like Silver: Hypatia of Alexandria
Stephen King,9.78E+12,370 pages,Misery
Jon Krakauer,9.78E+12,207 pages,Into the Wild
William Shakespeare,9.78E+12,316 pages,King Lear
Fyodor Dostoyevsky|Constance Garnett|Alan Myers|Joseph Frank|Anna Brailovsky,9.78E+12,667 pages,The Idiot
Laurie Halse Anderson,9.78E+12,208 pages,Speak
Diana Wynne Jones,9.78E+12,329 pages,Howl's Moving Castle
Marissa Meyer,9.78E+12,390 pages,Cinder
Neil Gaiman,9.78E+12,370 pages,Neverwhere
Elizabeth Kostova,9.78E+12,704 pages,The Historian
Harriet Beecher Stowe,9.78E+12,438 pages,Uncle Tom's Cabin
Ralph Ellison,9.78E+12,581 pages,Invisible Man
Roald Dahl|Quentin Blake,9.78E+12,146 pages,James and the Giant Peach
Cornelia Funke|Anthea Bell,9.78E+12,548 pages,Inkheart
James Herriot,9.78E+12,448 pages,All Creatures Great and Small
Walt Whitman,9.78E+12,624 pages,Leaves of Grass
Diane Setterfield,9.78E+12,406 pages,The Thirteenth Tale
Kristin Cashore,9.78E+12,471 pages,Graceling
Voltaire,9.78E+12,129 pages,Candide
John Irving,9.78E+12,973 pages,The Cider House Rules
John Milton|John      Leonard,9.78E+12,453 pages,Paradise Lost
Tim O'Brien,9.78E+12,246 pages,The Things They Carried
Stephen King,9.78E+12,560 pages,Different Seasons
Wilson Rawls,9.78E+12,272 pages,Where the Red Fern Grows
William Shakespeare,9.78E+12,1248 pages,The Complete Works
Arthur Conan Doyle,9.78E+12,1796 pages,"The Complete Sherlock Holmes, Vol 1"
Johanna Spyri|Beverly Cleary|Angelo  Rinaldi,9.78E+12,352 pages,Heidi
Isaac Asimov,9.78E+12,244 pages,Foundation
Judy Blume,9.78E+12,149 pages,"Are You There God? It's Me, Margaret"
